"46.1374729923786, -24.7935018416987","46.2093382151081, -24.7935018416987","46.2093382151081, -24.7216366189692","46.1374729923786, -24.7216366189692"
"46.1374729923786, -24.8653670644283","46.2093382151081, -24.8653670644283","46.2093382151081, -24.7935018416987","46.1374729923786, -24.7935018416987"
"46.1374729923786, -24.9372322871579","46.2093382151081, -24.9372322871579","46.2093382151081, -24.8653670644283","46.1374729923786, -24.8653670644283"
"46.2093382151081, -24.7935018416987","46.2812034378377, -24.7935018416987","46.2812034378377, -24.7216366189692","46.2093382151081, -24.7216366189692"
"46.2093382151081, -24.8653670644283","46.2812034378377, -24.8653670644283","46.2812034378377, -24.7935018416987","46.2093382151081, -24.7935018416987"
"46.2093382151081, -24.9372322871579","46.2812034378377, -24.9372322871579","46.2812034378377, -24.8653670644283","46.2093382151081, -24.8653670644283"
"46.2093382151081, -25.0090975098874","46.2812034378377, -25.0090975098874","46.2812034378377, -24.9372322871579","46.2093382151081, -24.9372322871579"
"46.2093382151081, -25.080962732617","46.2812034378377, -25.080962732617","46.2812034378377, -25.0090975098874","46.2093382151081, -25.0090975098874"
"46.2812034378377, -24.7216366189692","46.3530686605673, -24.7216366189692","46.3530686605673, -24.6497713962396","46.2812034378377, -24.6497713962396"
"46.2812034378377, -24.7935018416987","46.3530686605673, -24.7935018416987","46.3530686605673, -24.7216366189692","46.2812034378377, -24.7216366189692"
"46.2812034378377, -24.8653670644283","46.3530686605673, -24.8653670644283","46.3530686605673, -24.7935018416987","46.2812034378377, -24.7935018416987"
"46.2812034378377, -24.9372322871579","46.3530686605673, -24.9372322871579","46.3530686605673, -24.8653670644283","46.2812034378377, -24.8653670644283"
"46.2812034378377, -25.0090975098874","46.3530686605673, -25.0090975098874","46.3530686605673, -24.9372322871579","46.2812034378377, -24.9372322871579"
"46.2812034378377, -25.080962732617","46.3530686605673, -25.080962732617","46.3530686605673, -25.0090975098874","46.2812034378377, -25.0090975098874"
"46.3530686605673, -24.7216366189692","46.4249338832968, -24.7216366189692","46.4249338832968, -24.6497713962396","46.3530686605673, -24.6497713962396"
"46.3530686605673, -24.7935018416987","46.4249338832968, -24.7935018416987","46.4249338832968, -24.7216366189692","46.3530686605673, -24.7216366189692"
"46.3530686605673, -24.8653670644283","46.4249338832968, -24.8653670644283","46.4249338832968, -24.7935018416987","46.3530686605673, -24.7935018416987"
"46.3530686605673, -24.9372322871579","46.4249338832968, -24.9372322871579","46.4249338832968, -24.8653670644283","46.3530686605673, -24.8653670644283"
"46.3530686605673, -25.0090975098874","46.4249338832968, -25.0090975098874","46.4249338832968, -24.9372322871579","46.3530686605673, -24.9372322871579"
"46.3530686605673, -25.080962732617","46.4249338832968, -25.080962732617","46.4249338832968, -25.0090975098874","46.3530686605673, -25.0090975098874"
"46.3530686605673, -25.1528279553466","46.4249338832968, -25.1528279553466","46.4249338832968, -25.080962732617","46.3530686605673, -25.080962732617"
"46.4249338832968, -24.6497713962396","46.4967991060264, -24.6497713962396","46.4967991060264, -24.5779061735101","46.4249338832968, -24.5779061735101"
"46.4249338832968, -24.7216366189692","46.4967991060264, -24.7216366189692","46.4967991060264, -24.6497713962396","46.4249338832968, -24.6497713962396"
"46.4249338832968, -24.7935018416987","46.4967991060264, -24.7935018416987","46.4967991060264, -24.7216366189692","46.4249338832968, -24.7216366189692"
"46.4249338832968, -24.8653670644283","46.4967991060264, -24.8653670644283","46.4967991060264, -24.7935018416987","46.4249338832968, -24.7935018416987"
"46.4249338832968, -24.9372322871579","46.4967991060264, -24.9372322871579","46.4967991060264, -24.8653670644283","46.4249338832968, -24.8653670644283"
"46.4249338832968, -25.0090975098874","46.4967991060264, -25.0090975098874","46.4967991060264, -24.9372322871579","46.4249338832968, -24.9372322871579"
"46.4249338832968, -25.080962732617","46.4967991060264, -25.080962732617","46.4967991060264, -25.0090975098874","46.4249338832968, -25.0090975098874"
"46.4249338832968, -25.1528279553466","46.4967991060264, -25.1528279553466","46.4967991060264, -25.080962732617","46.4249338832968, -25.080962732617"
"46.4967991060264, -24.6497713962396","46.5686643287559, -24.6497713962396","46.5686643287559, -24.5779061735101","46.4967991060264, -24.5779061735101"
"46.4967991060264, -24.7216366189692","46.5686643287559, -24.7216366189692","46.5686643287559, -24.6497713962396","46.4967991060264, -24.6497713962396"
"46.4967991060264, -24.7935018416987","46.5686643287559, -24.7935018416987","46.5686643287559, -24.7216366189692","46.4967991060264, -24.7216366189692"
"46.4967991060264, -24.8653670644283","46.5686643287559, -24.8653670644283","46.5686643287559, -24.7935018416987","46.4967991060264, -24.7935018416987"
"46.4967991060264, -24.9372322871579","46.5686643287559, -24.9372322871579","46.5686643287559, -24.8653670644283","46.4967991060264, -24.8653670644283"
"46.4967991060264, -25.0090975098874","46.5686643287559, -25.0090975098874","46.5686643287559, -24.9372322871579","46.4967991060264, -24.9372322871579"
"46.4967991060264, -25.080962732617","46.5686643287559, -25.080962732617","46.5686643287559, -25.0090975098874","46.4967991060264, -25.0090975098874"
"46.4967991060264, -25.1528279553466","46.5686643287559, -25.1528279553466","46.5686643287559, -25.080962732617","46.4967991060264, -25.080962732617"
"46.5686643287559, -24.6497713962396","46.6405295514855, -24.6497713962396","46.6405295514855, -24.5779061735101","46.5686643287559, -24.5779061735101"
"46.5686643287559, -24.7216366189692","46.6405295514855, -24.7216366189692","46.6405295514855, -24.6497713962396","46.5686643287559, -24.6497713962396"
"46.5686643287559, -24.7935018416987","46.6405295514855, -24.7935018416987","46.6405295514855, -24.7216366189692","46.5686643287559, -24.7216366189692"
"46.5686643287559, -24.8653670644283","46.6405295514855, -24.8653670644283","46.6405295514855, -24.7935018416987","46.5686643287559, -24.7935018416987"
